UID0,UID1,UID2,UID3,Label,Ttype,Mtype,L1,L2
136,83,42,51,tagName,2,2,0.0,0.0
136,83,41,51,tagName,2,2,0.0,0.0
136,83,40,51,tagName,2,2,0.0,0.0
136,83,39,51,tagName,2,2,0.0,0.0
136,83,15,51,tagName,2,2,0.0,0.0
136,83,16,51,tagName,2,2,0.0,0.0
136,83,17,51,tagName,2,2,0.0,0.0
136,83,31,51,tagName,2,2,0.0,0.0
136,83,32,51,tagName,2,2,0.0,0.0
136,83,33,51,tagName,2,2,0.0,0.0
136,83,162,207,tagName,2,2,0.0,0.0
136,83,18,51,tagName,2,2,0.0,0.0
136,83,10,51,tagName,2,2,0.0,0.0
136,83,0,51,tagName,2,2,0.0,0.0
136,83,47,51,tagName,2,2,0.0,0.0
136,83,48,51,tagName,2,2,0.0,0.0
136,83,49,51,tagName,2,2,0.0,0.0
136,83,50,51,tagName,2,2,0.0,0.0
136,83,9,51,tagName,2,2,0.0,0.0
136,83,8,51,tagName,2,2,0.0,0.0
136,83,2,51,tagName,2,2,0.0,0.0
136,83,25,51,tagName,2,2,0.0,0.0
136,83,24,51,tagName,2,2,0.0,0.0
136,83,23,51,tagName,2,2,0.0,0.0
136,83,26,51,tagName,2,2,0.0,0.0
136,83,7,51,tagName,2,2,0.0,0.0
136,83,1,51,tagName,2,2,0.0,0.0
136,83,255,50,tagName,2,2,0.0,0.0
136,83,160,207,tagName,2,2,0.0,0.0
136,83,241,50,tagName,2,2,0.0,0.0
136,83,242,50,tagName,2,2,0.0,0.0
136,83,247,50,tagName,2,2,0.0,0.0
136,83,248,50,tagName,2,2,0.0,0.0
136,83,249,50,tagName,2,2,0.0,0.0
136,83,250,50,tagName,2,2,0.0,0.0
136,83,225,50,tagName,2,2,0.0,0.0
136,83,159,207,tagName,2,2,0.0,0.0
136,83,231,50,tagName,2,2,0.0,0.0
136,83,233,50,tagName,2,2,0.0,0.0
136,83,234,50,tagName,2,2,0.0,0.0
136,83,239,50,tagName,2,2,0.0,0.0
136,83,232,50,tagName,2,2,0.0,0.0
136,83,210,50,tagName,2,2,0.0,0.0
136,83,215,50,tagName,2,2,0.0,0.0
136,83,216,50,tagName,2,2,0.0,0.0
136,83,202,50,tagName,2,2,0.0,0.0
136,83,218,50,tagName,2,2,0.0,0.0
136,83,223,50,tagName,2,2,0.0,0.0
136,83,158,207,tagName,2,2,0.0,0.0
136,83,200,50,tagName,2,2,0.0,0.0
136,83,201,50,tagName,2,2,0.0,0.0
136,83,194,50,tagName,2,2,0.0,0.0
136,83,207,50,tagName,2,2,0.0,0.0
136,83,157,207,tagName,2,2,0.0,0.0
136,83,209,50,tagName,2,2,0.0,0.0
136,83,199,50,tagName,2,2,0.0,0.0
