UID0,UID1,UID2,UID3,Label,Ttype,Mtype,L1,L2
136,83,218,49,tagName,2,2,0.0,0.0
136,83,217,49,tagName,2,2,0.0,0.0
136,83,216,49,tagName,2,2,0.0,0.0
136,83,215,49,tagName,2,2,0.0,0.0
136,83,209,49,tagName,2,2,0.0,0.0
136,83,208,49,tagName,2,2,0.0,0.0
136,83,207,49,tagName,2,2,0.0,0.0
136,83,202,49,tagName,2,2,0.0,0.0
136,83,201,49,tagName,2,2,0.0,0.0
136,83,200,49,tagName,2,2,0.0,0.0
136,83,199,49,tagName,2,2,0.0,0.0
136,83,176,49,tagName,2,2,0.0,0.0
136,83,175,49,tagName,2,2,0.0,0.0
136,83,174,49,tagName,2,2,0.0,0.0
136,83,169,49,tagName,2,2,0.0,0.0
136,83,168,49,tagName,2,2,0.0,0.0
136,83,167,49,tagName,2,2,0.0,0.0
136,83,166,49,tagName,2,2,0.0,0.0
136,83,161,49,tagName,2,2,0.0,0.0
136,83,160,49,tagName,2,2,0.0,0.0
136,83,159,49,tagName,2,2,0.0,0.0
136,83,158,49,tagName,2,2,0.0,0.0
136,83,153,49,tagName,2,2,0.0,0.0
136,83,152,49,tagName,2,2,0.0,0.0
136,83,151,49,tagName,2,2,0.0,0.0
136,83,150,49,tagName,2,2,0.0,0.0
136,83,145,49,tagName,2,2,0.0,0.0
136,83,144,49,tagName,2,2,0.0,0.0
136,83,143,49,tagName,2,2,0.0,0.0
136,83,142,49,tagName,2,2,0.0,0.0
136,83,137,49,tagName,2,2,0.0,0.0
136,83,136,49,tagName,2,2,0.0,0.0
136,83,135,49,tagName,2,2,0.0,0.0
136,83,134,49,tagName,2,2,0.0,0.0
136,83,129,49,tagName,2,2,0.0,0.0
136,83,128,49,tagName,2,2,0.0,0.0
136,83,127,49,tagName,2,2,0.0,0.0
136,83,126,49,tagName,2,2,0.0,0.0
136,83,121,49,tagName,2,2,0.0,0.0
136,83,136,207,tagName,2,2,0.0,0.0
136,83,119,49,tagName,2,2,0.0,0.0
136,83,118,49,tagName,2,2,0.0,0.0
136,83,113,49,tagName,2,2,0.0,0.0
136,83,112,49,tagName,2,2,0.0,0.0
136,83,111,49,tagName,2,2,0.0,0.0
136,83,110,49,tagName,2,2,0.0,0.0
136,83,105,49,tagName,2,2,0.0,0.0
136,83,104,49,tagName,2,2,0.0,0.0
136,83,103,49,tagName,2,2,0.0,0.0
136,83,102,49,tagName,2,2,0.0,0.0
136,83,97,49,tagName,2,2,0.0,0.0
136,83,96,49,tagName,2,2,0.0,0.0
136,83,95,49,tagName,2,2,0.0,0.0
136,83,94,49,tagName,2,2,0.0,0.0
136,83,89,49,tagName,2,2,0.0,0.0
136,83,135,207,tagName,2,2,0.0,0.0
