UID0,UID1,UID2,UID3,Label,Ttype,Mtype,L1,L2
136,83,186,50,tagName,2,2,0.0,0.0
136,83,185,50,tagName,2,2,0.0,0.0
136,83,184,50,tagName,2,2,0.0,0.0
136,83,183,50,tagName,2,2,0.0,0.0
136,83,178,50,tagName,2,2,0.0,0.0
136,83,177,50,tagName,2,2,0.0,0.0
136,83,176,50,tagName,2,2,0.0,0.0
136,83,175,50,tagName,2,2,0.0,0.0
136,83,170,50,tagName,2,2,0.0,0.0
136,83,169,50,tagName,2,2,0.0,0.0
136,83,168,50,tagName,2,2,0.0,0.0
136,83,167,50,tagName,2,2,0.0,0.0
136,83,162,50,tagName,2,2,0.0,0.0
136,83,161,50,tagName,2,2,0.0,0.0
136,83,160,50,tagName,2,2,0.0,0.0
136,83,159,50,tagName,2,2,0.0,0.0
136,83,154,50,tagName,2,2,0.0,0.0
136,83,153,50,tagName,2,2,0.0,0.0
136,83,152,50,tagName,2,2,0.0,0.0
136,83,151,50,tagName,2,2,0.0,0.0
136,83,146,50,tagName,2,2,0.0,0.0
136,83,145,50,tagName,2,2,0.0,0.0
136,83,144,50,tagName,2,2,0.0,0.0
136,83,143,50,tagName,2,2,0.0,0.0
136,83,138,50,tagName,2,2,0.0,0.0
136,83,137,50,tagName,2,2,0.0,0.0
136,83,136,50,tagName,2,2,0.0,0.0
136,83,135,50,tagName,2,2,0.0,0.0
136,83,130,50,tagName,2,2,0.0,0.0
136,83,129,50,tagName,2,2,0.0,0.0
136,83,128,50,tagName,2,2,0.0,0.0
136,83,127,50,tagName,2,2,0.0,0.0
136,83,122,50,tagName,2,2,0.0,0.0
136,83,121,50,tagName,2,2,0.0,0.0
136,83,45,47,tagName,2,2,0.0,0.0
136,83,119,50,tagName,2,2,0.0,0.0
136,83,114,50,tagName,2,2,0.0,0.0
136,83,113,50,tagName,2,2,0.0,0.0
136,83,112,50,tagName,2,2,0.0,0.0
136,83,111,50,tagName,2,2,0.0,0.0
136,83,106,50,tagName,2,2,0.0,0.0
136,83,105,50,tagName,2,2,0.0,0.0
136,83,104,50,tagName,2,2,0.0,0.0
136,83,103,50,tagName,2,2,0.0,0.0
136,83,98,50,tagName,2,2,0.0,0.0
136,83,97,50,tagName,2,2,0.0,0.0
136,83,96,50,tagName,2,2,0.0,0.0
136,83,95,50,tagName,2,2,0.0,0.0
136,83,90,50,tagName,2,2,0.0,0.0
136,83,89,50,tagName,2,2,0.0,0.0
136,83,88,50,tagName,2,2,0.0,0.0
136,83,44,47,tagName,2,2,0.0,0.0
136,83,82,50,tagName,2,2,0.0,0.0
136,83,81,50,tagName,2,2,0.0,0.0
136,83,154,207,tagName,2,2,0.0,0.0
136,83,79,50,tagName,2,2,0.0,0.0


