UID0,UID1,UID2,UID3,Label,Ttype,Mtype,L1,L2
136,83,87,49,tagName,2,2,0.0,0.0
136,83,86,49,tagName,2,2,0.0,0.0
136,83,81,49,tagName,2,2,0.0,0.0
136,83,80,49,tagName,2,2,0.0,0.0
136,83,79,49,tagName,2,2,0.0,0.0
136,83,78,49,tagName,2,2,0.0,0.0
136,83,73,49,tagName,2,2,0.0,0.0
136,83,72,49,tagName,2,2,0.0,0.0
136,83,71,49,tagName,2,2,0.0,0.0
136,83,70,49,tagName,2,2,0.0,0.0
136,83,65,49,tagName,2,2,0.0,0.0
136,83,64,49,tagName,2,2,0.0,0.0
136,83,63,49,tagName,2,2,0.0,0.0
136,83,62,49,tagName,2,2,0.0,0.0
136,83,57,49,tagName,2,2,0.0,0.0
136,83,56,49,tagName,2,2,0.0,0.0
136,83,55,49,tagName,2,2,0.0,0.0
136,83,54,49,tagName,2,2,0.0,0.0
136,83,49,49,tagName,2,2,0.0,0.0
136,83,48,49,tagName,2,2,0.0,0.0
136,83,47,49,tagName,2,2,0.0,0.0
136,83,46,49,tagName,2,2,0.0,0.0
136,83,41,49,tagName,2,2,0.0,0.0
136,83,40,49,tagName,2,2,0.0,0.0
136,83,39,49,tagName,2,2,0.0,0.0
136,83,38,49,tagName,2,2,0.0,0.0
136,83,33,49,tagName,2,2,0.0,0.0
136,83,32,49,tagName,2,2,0.0,0.0
136,83,30,49,tagName,2,2,0.0,0.0
136,83,31,49,tagName,2,2,0.0,0.0
136,83,25,49,tagName,2,2,0.0,0.0
136,83,24,49,tagName,2,2,0.0,0.0
136,83,23,49,tagName,2,2,0.0,0.0
136,83,22,49,tagName,2,2,0.0,0.0
136,83,17,49,tagName,2,2,0.0,0.0
