UID0,UID1,UID2,UID3,Label,Ttype,Mtype,L1,L2
136,83,42,51,tagA,2,2,0.0,0.0
136,83,41,51,tagA,2,2,0.0,0.0
136,83,40,51,tagA,2,2,0.0,0.0
136,83,39,51,tagA,2,2,0.0,0.0
136,83,15,51,tagA,2,2,0.0,0.0
136,83,16,51,tagA,2,2,0.0,0.0
136,83,17,51,tagA,2,2,0.0,0.0
136,83,31,51,tagA,2,2,0.0,0.0
136,83,32,51,tagA,2,2,0.0,0.0
136,83,33,51,tagA,2,2,0.0,0.0
136,83,162,207,tagA,2,2,0.0,0.0
136,83,18,51,tagA,2,2,0.0,0.0
136,83,10,51,tagA,2,2,0.0,0.0
136,83,0,51,tagA,2,2,0.0,0.0
136,83,47,51,tagA,2,2,0.0,0.0
136,83,48,51,tagA,2,2,0.0,0.0
136,83,49,51,tagA,2,2,0.0,0.0
136,83,50,51,tagA,2,2,0.0,0.0
136,83,9,51,tagA,2,2,0.0,0.0
136,83,8,51,tagA,2,2,0.0,0.0
136,83,2,51,tagA,2,2,0.0,0.0
136,83,25,51,tagA,2,2,0.0,0.0
136,83,24,51,tagA,2,2,0.0,0.0
136,83,23,51,tagA,2,2,0.0,0.0
136,83,26,51,tagA,2,2,0.0,0.0
136,83,7,51,tagA,2,2,0.0,0.0
136,83,1,51,tagA,2,2,0.0,0.0
136,83,255,50,tagA,2,2,0.0,0.0
136,83,160,207,tagA,2,2,0.0,0.0
136,83,241,50,tagA,2,2,0.0,0.0
136,83,242,50,tagA,2,2,0.0,0.0
136,83,247,50,tagA,2,2,0.0,0.0
136,83,248,50,tagA,2,2,0.0,0.0
136,83,249,50,tagA,2,2,0.0,0.0
136,83,250,50,tagA,2,2,0.0,0.0
136,83,225,50,tagA,2,2,0.0,0.0
136,83,159,207,tagA,2,2,0.0,0.0
136,83,231,50,tagA,2,2,0.0,0.0
136,83,233,50,tagA,2,2,0.0,0.0
136,83,234,50,tagA,2,2,0.0,0.0
136,83,239,50,tagA,2,2,0.0,0.0
136,83,232,50,tagA,2,2,0.0,0.0
136,83,210,50,tagA,2,2,0.0,0.0
136,83,215,50,tagA,2,2,0.0,0.0
136,83,216,50,tagA,2,2,0.0,0.0
136,83,202,50,tagA,2,2,0.0,0.0
136,83,218,50,tagA,2,2,0.0,0.0
136,83,223,50,tagA,2,2,0.0,0.0
136,83,158,207,tagA,2,2,0.0,0.0
136,83,200,50,tagA,2,2,0.0,0.0
136,83,201,50,tagA,2,2,0.0,0.0
136,83,194,50,tagA,2,2,0.0,0.0
136,83,207,50,tagA,2,2,0.0,0.0
136,83,157,207,tagA,2,2,0.0,0.0
136,83,209,50,tagA,2,2,0.0,0.0
136,83,199,50,tagA,2,2,0.0,0.0
136,83,218,49,tagB,2,2,0.0,0.0
136,83,217,49,tagB,2,2,0.0,0.0
136,83,216,49,tagB,2,2,0.0,0.0
136,83,215,49,tagB,2,2,0.0,0.0
136,83,209,49,tagB,2,2,0.0,0.0
136,83,208,49,tagB,2,2,0.0,0.0
136,83,207,49,tagB,2,2,0.0,0.0
136,83,202,49,tagB,2,2,0.0,0.0
136,83,201,49,tagB,2,2,0.0,0.0
136,83,200,49,tagB,2,2,0.0,0.0
136,83,199,49,tagB,2,2,0.0,0.0
136,83,176,49,tagB,2,2,0.0,0.0
136,83,175,49,tagB,2,2,0.0,0.0
136,83,174,49,tagB,2,2,0.0,0.0
136,83,169,49,tagB,2,2,0.0,0.0
136,83,168,49,tagB,2,2,0.0,0.0
136,83,167,49,tagB,2,2,0.0,0.0
136,83,166,49,tagB,2,2,0.0,0.0
136,83,161,49,tagB,2,2,0.0,0.0
136,83,160,49,tagB,2,2,0.0,0.0
136,83,159,49,tagB,2,2,0.0,0.0
136,83,158,49,tagB,2,2,0.0,0.0
136,83,153,49,tagB,2,2,0.0,0.0
136,83,152,49,tagB,2,2,0.0,0.0
136,83,151,49,tagB,2,2,0.0,0.0
136,83,150,49,tagB,2,2,0.0,0.0
136,83,145,49,tagB,2,2,0.0,0.0
136,83,144,49,tagB,2,2,0.0,0.0
136,83,143,49,tagB,2,2,0.0,0.0
136,83,142,49,tagB,2,2,0.0,0.0
136,83,137,49,tagB,2,2,0.0,0.0
136,83,136,49,tagB,2,2,0.0,0.0
136,83,135,49,tagB,2,2,0.0,0.0
136,83,134,49,tagB,2,2,0.0,0.0
136,83,129,49,tagB,2,2,0.0,0.0
136,83,128,49,tagB,2,2,0.0,0.0
136,83,127,49,tagB,2,2,0.0,0.0
136,83,126,49,tagB,2,2,0.0,0.0
136,83,121,49,tagB,2,2,0.0,0.0
136,83,136,207,tagB,2,2,0.0,0.0
136,83,119,49,tagB,2,2,0.0,0.0
136,83,118,49,tagB,2,2,0.0,0.0
136,83,113,49,tagB,2,2,0.0,0.0
136,83,112,49,tagB,2,2,0.0,0.0
136,83,111,49,tagB,2,2,0.0,0.0
136,83,110,49,tagB,2,2,0.0,0.0
136,83,105,49,tagB,2,2,0.0,0.0
136,83,104,49,tagB,2,2,0.0,0.0
136,83,103,49,tagB,2,2,0.0,0.0
136,83,102,49,tagB,2,2,0.0,0.0
136,83,97,49,tagB,2,2,0.0,0.0
136,83,96,49,tagB,2,2,0.0,0.0
136,83,95,49,tagB,2,2,0.0,0.0
136,83,94,49,tagB,2,2,0.0,0.0
136,83,89,49,tagB,2,2,0.0,0.0
136,83,135,207,tagB,2,2,0.0,0.0
136,83,74,50,tagC,2,2,0.0,0.0
136,83,73,50,tagC,2,2,0.0,0.0
136,83,72,50,tagC,2,2,0.0,0.0
136,83,43,47,tagC,2,2,0.0,0.0
136,83,66,50,tagC,2,2,0.0,0.0
136,83,65,50,tagC,2,2,0.0,0.0
136,83,64,50,tagC,2,2,0.0,0.0
136,83,63,50,tagC,2,2,0.0,0.0
136,83,201,48,tagC,2,2,0.0,0.0
136,83,57,50,tagC,2,2,0.0,0.0
136,83,56,50,tagC,2,2,0.0,0.0
136,83,55,50,tagC,2,2,0.0,0.0
136,83,200,48,tagC,2,2,0.0,0.0
136,83,49,50,tagC,2,2,0.0,0.0
136,83,48,50,tagC,2,2,0.0,0.0
136,83,47,50,tagC,2,2,0.0,0.0
136,83,42,50,tagC,2,2,0.0,0.0
136,83,41,50,tagC,2,2,0.0,0.0
136,83,40,50,tagC,2,2,0.0,0.0
136,83,39,50,tagC,2,2,0.0,0.0
136,83,34,50,tagC,2,2,0.0,0.0
136,83,33,50,tagC,2,2,0.0,0.0
136,83,32,50,tagC,2,2,0.0,0.0
136,83,31,50,tagC,2,2,0.0,0.0
136,83,26,50,tagC,2,2,0.0,0.0
136,83,25,50,tagC,2,2,0.0,0.0
136,83,24,50,tagC,2,2,0.0,0.0
136,83,23,50,tagC,2,2,0.0,0.0
136,83,18,50,tagC,2,2,0.0,0.0
136,83,17,50,tagC,2,2,0.0,0.0
